# Logfile created on 2016-09-08 13:56:24 +0200 by logger.rb/v1.2.7
stop:1473336832 #<Container name:borg-6251674199-14 ID:d2221726bdd8cf49c47eb624d053920a73b60c6b0f6d3d48d80ddb1825fb5a2f start:1473336597 generation_timestamps:{:nursery=>{:start=>1473336597, :stop=>1473336832}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.1337827977715877, :mean=>0.6713475863947902}, :memory=>{:max=>267116544, :mean=>263291452}}>
stop:1473336837 #<Container name:borg-6251672941-112 ID:d9c7daf2a1c18a16d440d156bb73887f873fba56efeeb65d9eeef944b4171e5e start:1473336590 generation_timestamps:{:nursery=>{:start=>1473336590, :stop=>1473336837}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.2306153218731477, :mean=>0.6853594202805497}, :memory=>{:max=>267116544, :mean=>262530109}}>
stop:1473336841 #<Container name:borg-6251672941-540 ID:c191267b744ae522e6bc419a48d2b72da1064f41d2a5824a2865ed3dc5c80e35 start:1473336600 generation_timestamps:{:nursery=>{:start=>1473336600, :stop=>1473336841}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.7771810645539907, :mean=>0.3872734017381698}, :memory=>{:max=>267116544, :mean=>263307922}}>
stop:1473336902 #<Container name:borg-6251674199-327 ID:c37954da1f6a09020fede8944c1ec9653b0c07d38da32124589d3a74aa6f5f14 start:1473336602 generation_timestamps:{:nursery=>{:start=>1473336602, :stop=>1473336902}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.7917149373198846, :mean=>0.5324400033069464}, :memory=>{:max=>267116544, :mean=>264110035}}>
stop:1473336902 #<Container name:borg-6251688370-0 ID:9a0ddb8c8a30791551f8466d2ed8147b1f753c27ecc2d667a9e6678ee17bf919 start:1473336725 generation_timestamps:{:nursery=>{:start=>1473336725, :stop=>1473336902}} generation_current:nursery cpu:0.39992 mem:0.055912 metrics:{:cpu=>{:max=>1.113292670031056, :mean=>1.0314793377505296}, :memory=>{:max=>55910400, :mean=>54709802}}>
stop:1473336912 #<Container name:borg-6251672941-750 ID:c0bf0a5cab0d131ab0621a0902656f337a6b35b891d2ef7269ae6075cc17421b start:1473336599 generation_timestamps:{:nursery=>{:start=>1473336599, :stop=>1473336912}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.9922996337683523, :mean=>0.3179410974101066}, :memory=>{:max=>267116544, :mean=>261247590}}>
stop:1473336917 #<Container name:borg-6251696151-2 ID:098883c1ed4cb510080145068e0f5b1914edb75b6d06ab168ebb42f651a32817 start:1473336824 generation_timestamps:{:nursery=>{:start=>1473336824, :stop=>1473336917}} generation_current:nursery cpu:0.069336 mem:0.029968 metrics:{:cpu=>{:max=>1.0865670629599347, :mean=>0.5438154667945663}, :memory=>{:max=>29958144, :mean=>28064768}}>
stop:1473336918 #<Container name:borg-6251539840-23 ID:2199edd59bd4c40b2915dee51131740a62b43ecc1ecfb511ba06f63959919b70 start:1473335889 generation_timestamps:{:nursery=>{:start=>1473335889, :stop=>1473336918}} generation_current:nursery cpu:0.19992 mem:0.2036 metrics:{:cpu=>{:max=>1.4420925685920578, :mean=>0.19235019439012965}, :memory=>{:max=>203599872, :mean=>202732695}}>
stop:1473336927 #<Container name:borg-6251539840-373 ID:adb1c6300501d0264bb1f13e256b3349a0bd478b0ea95d7962dafb6b03f90933 start:1473335879 generation_timestamps:{:nursery=>{:start=>1473335879, :stop=>1473336927}} generation_current:nursery cpu:0.19992 mem:0.2036 metrics:{:cpu=>{:max=>1.5360947577996715, :mean=>0.19520207453772004}, :memory=>{:max=>203599872, :mean=>202695778}}>
stop:1473337002 #<Container name:borg-6250505806-197 ID:c6aeef344130ee614c23620ca9ac3262674ebb8ebede8749d0546cb313cce308 start:1473335849 generation_timestamps:{:nursery=>{:start=>1473335849, :stop=>1473337002}} generation_current:nursery cpu:0.40872 mem:0.31248 metrics:{:cpu=>{:max=>1.1493711348808031, :mean=>0.4177790053233075}, :memory=>{:max=>312479744, :mean=>311257253}}>
stop:1473337042 #<Container name:borg-6251539840-276 ID:7d149c204739c9689fed79364be0fc6a160628aea73e401a9542e7d259c71915 start:1473335859 generation_timestamps:{:nursery=>{:start=>1473335859, :stop=>1473337042}} generation_current:nursery cpu:0.19992 mem:0.2036 metrics:{:cpu=>{:max=>1.3336862453861928, :mean=>0.17448465992747655}, :memory=>{:max=>203599872, :mean=>202830997}}>
stop:1473337147 #<Container name:borg-6251704965-1 ID:39bec898f25a9677e5419314fbc7d155fb388179971e2639bb68e08d6454e863 start:1473336999 generation_timestamps:{:nursery=>{:start=>1473336999, :stop=>1473337147}} generation_current:nursery cpu:0.054568 mem:0.015776 metrics:{:cpu=>{:max=>1.116530548125, :mean=>0.3759575677563452}, :memory=>{:max=>15773696, :mean=>15371662}}>
stop:1473337157 #<Container name:borg-6251687275-204 ID:8b306082962cc363f9415774388123512a1cdd31f1d5f370dcf2e57cd59e6702 start:1473336706 generation_timestamps:{:nursery=>{:start=>1473336706, :stop=>1473337157}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.959514847613571, :mean=>0.21591946945275584}, :memory=>{:max=>267116544, :mean=>265051002}}>
stop:1473337157 #<Container name:borg-6251687275-621 ID:aae964ac48273d28b1f69d7aed918c306dff01d3f2058f734ea95d1493375e1b start:1473336722 generation_timestamps:{:nursery=>{:start=>1473336722, :stop=>1473337157}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>2.170695435084242, :mean=>0.4096352272695471}, :memory=>{:max=>267116544, :mean=>263607264}}>
stop:1473337162 #<Container name:borg-6251687275-309 ID:4c414aecb4c8fe6c454a23eb1986ce573946d825b7ef4044ac0da52e4c89190f start:1473336723 generation_timestamps:{:nursery=>{:start=>1473336723, :stop=>1473337162}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.6782201681957187, :mean=>0.24559571175187997}, :memory=>{:max=>267116544, :mean=>264423962}}>
stop:1473337167 #<Container name:borg-6251687275-413 ID:81a700859894865e0ce4f9a22e715e07c9e014428bcfda6b30c6a343ecf94b19 start:1473336704 generation_timestamps:{:nursery=>{:start=>1473336704, :stop=>1473337167}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.1202442906458798, :mean=>0.40014018998914097}, :memory=>{:max=>267116544, :mean=>265005252}}>
stop:1473337177 #<Container name:borg-6251687275-836 ID:d37db805cb977969f9f9eaff1621441631958cf862e95b086b667a1f4cb2181c start:1473336723 generation_timestamps:{:nursery=>{:start=>1473336723, :stop=>1473337177}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.8635651932938857, :mean=>0.3531533486725811}, :memory=>{:max=>267116544, :mean=>264092022}}>
