#time count_nursery count_young count_tenured
1473854742 5 4 0
1473854743 5 4 0
1473854744 5 4 0
1473854745 5 4 0
1473854746 5 4 0
1473854747 5 4 0
1473854748 5 4 0
1473854749 5 4 0
1473854750 5 4 0
1473854751 5 4 0
1473854752 5 4 0
1473854753 5 4 0
1473854754 5 4 0
1473854755 5 4 0
1473854756 5 4 0
1473854757 5 4 0
1473854758 5 4 0
1473854759 5 4 0
1473854760 5 4 0
1473854761 5 4 0
1473854762 5 4 0
1473854763 5 4 0
1473854764 5 4 0
1473854765 5 4 0
1473854766 5 4 0
1473854767 5 4 0
1473854768 5 4 0
1473854769 5 4 0
1473854770 5 4 0
1473854771 5 4 0
1473854772 5 4 0
1473854773 5 4 0
1473854774 5 4 0
1473854775 5 4 0
1473854776 5 4 0
1473854777 5 4 0
1473854778 5 4 0
1473854779 5 4 0
1473854780 5 4 0
1473854781 5 4 0
1473854782 5 4 0
1473854783 5 4 0
1473854784 5 4 0
1473854785 5 4 0
1473854786 5 4 0
1473854787 5 4 0
1473854788 5 4 0
1473854789 5 4 0
1473854790 5 4 0
1473854791 5 4 0
1473854792 5 4 0
1473854793 5 4 0
1473854794 5 4 0
1473854795 5 4 0
1473854796 5 4 0
1473854797 5 4 0
1473854798 5 4 0
1473854799 5 4 0
1473854800 5 4 0
1473854801 5 4 0
1473854802 5 4 0
1473854803 5 4 0
1473854804 5 4 0
1473854805 5 4 0
1473854806 5 4 0
1473854807 5 4 0
1473854808 5 4 0
1473854809 5 4 0
1473854810 5 4 0
1473854811 5 4 0
1473854812 5 4 0
1473854813 5 4 0
1473854814 5 4 0
1473854815 5 4 0
1473854816 5 4 0
1473854817 5 4 0
1473854818 5 4 0
1473854819 5 4 0
1473854820 5 4 0
1473854821 5 4 0
1473854822 5 4 0
1473854823 5 4 0
1473854824 5 4 0
1473854825 5 4 0
1473854826 5 4 0
1473854827 5 4 0
1473854828 5 4 0
1473854829 5 4 0
1473854830 5 4 0
1473854831 5 4 0
1473854832 5 4 0
1473854833 5 4 0
1473854834 5 4 0
1473854835 5 4 0
1473854836 5 4 0
1473854837 5 4 0
1473854838 5 4 0
1473854839 5 4 0
1473854840 5 4 0
1473854841 5 4 0
1473854842 5 4 0
1473854843 5 4 0
1473854844 5 3 0
1473854845 5 2 0
1473854846 5 2 0
1473854847 5 2 0
1473854848 5 2 1
1473854849 5 2 1
1473854850 5 2 1
1473854851 5 2 1
1473854852 5 2 1
1473854853 5 2 1
1473854854 5 2 1
1473854855 5 2 1
1473854856 5 2 1
1473854857 5 2 1
1473854858 5 2 1
1473854859 5 2 1
1473854860 5 2 1
